Name,APID,Type,Endian,Conversion_C0,Conversion_C1,Conversion_C2,Conversion_C3,Conversion_C4
sp1_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat1_temp,1,U16,big,-259.74,1.471182747,3.59E-04,8.77E-08,2.14E-11
sp2_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat_fg3,1,U16,big,0,0.003906,0,0,0
bat0_temp_conv,1,F32,big,,,,,
bat1_temp_conv,1,F32,big,,,,,
mode,1,D8,big,,,,,
CCSDS_Header_1_APID,11,U16,little,,,,,
CCSDS_Header_2_Seq,11,U16,little,,,,,
PKT_LEN,11,U16,little,,,,,
SHCOARSE,11,U32,big,,,,,
SHFINE,11,U16,big,,,,,
cycle_count,11,U16,big,,,,,
over_count,11,U16,big,,,,,
isr_count,11,U16,big,,,,,
last_overrun,11,D8,big,,,,,
,11,U8,big,,,,,
back_count,11,U32,big,,,,,
back_hwm,11,U32,big,,,,,
CCSDS_Header_1_APID,14,U16,little,,,,,
CCSDS_Header_2_Seq,14,U16,little,,,,,
PKT_LEN,14,U16,little,,,,,
SHCOARSE,14,U32,big,,,,,
SHFINE,14,U16,big,,,,,
task_count,14,U32,big,,,,,
cycle_count,14,U16,big,,,,,
task_exec,14,U608,big,,,,,
task_over,14,U608,big,,,,,
task_back,14,U96,big,,,,,
CCSDS_Header_1_APID,13,U16,little,,,,,
CCSDS_Header_2_Seq,13,U16,little,,,,,
PKT_LEN,13,U16,little,,,,,
SHCOARSE,13,U32,big,,,,,
SHFINE,13,U16,big,,,,,
task_count,13,U32,big,,,,,
back_count,13,U32,big,,,,,
task_slot,13,D1600,big,,,,,
CCSDS_Header_1_APID,19,U16,little,,,,,
CCSDS_Header_2_Seq,19,U16,little,,,,,
PKT_LEN,19,U16,little,,,,,
SHCOARSE,19,U32,big,,,,,
SHFINE,19,U16,big,,,,,
CCSDS_Header_1_APID,6,U16,little,,,,,
CCSDS_Header_2_Seq,6,U16,little,,,,,
PKT_LEN,6,U16,little,,,,,
SHCOARSE,6,U32,big,,,,,
SHFINE,6,U16,big,,,,,
,6,U1024,big,,,,,
CCSDS_Header_1_APID,7,U16,little,,,,,
CCSDS_Header_2_Seq,7,U16,little,,,,,
PKT_LEN,7,U16,little,,,,,
SHCOARSE,7,U32,big,,,,,
SHFINE,7,U16,big,,,,,
task_state,7,D32,big,,,,,
resp_count,7,U32,big,,,,,
passive_count,7,U32,big,,,,,
err_count,7,U32,big,,,,,
CCSDS_Header_1_APID,9,U16,little,,,,,
CCSDS_Header_2_Seq,9,U16,little,,,,,
PKT_LEN,9,U16,little,,,,,
SHCOARSE,9,U32,big,,,,,
SHFINE,9,U16,big,,,,,
reg_err_max,9,U8,big,,,,,
reg_err_size,9,U8,big,,,,,
reg_err_dup,9,U8,big,,,,,
id_err,9,U8,big,,,,,
entry_num,9,U16,big,,,,,
entry_store,9,U16,big,,,,,
CCSDS_Header_1_APID,8,U16,little,,,,,
CCSDS_Header_2_Seq,8,U16,little,,,,,
PKT_LEN,8,U16,little,,,,,
SHCOARSE,8,U32,big,,,,,
SHFINE,8,U16,big,,,,,
unreg_err_count,8,U32,big,,,,,
invalid_err_count,8,U32,big,,,,,
check_err_count,8,U32,big,,,,,
match_err_count,8,U32,big,,,,,
read_err_count,8,U32,big,,,,,
CCSDS_Header_1_APID,5,U16,little,,,,,
CCSDS_Header_2_Seq,5,U16,little,,,,,
PKT_LEN,5,U16,little,,,,,
SHCOARSE,5,U32,big,,,,,
SHFINE,5,U16,big,,,,,
cmd_cnt,5,U32,big,,,,,
wait_time,5,U32,big,,,,,
position,5,U32,big,,,,,
buffer_id,5,U16,big,,,,,
state,5,D8,big,,,,,
stop_code,5,D8,big,,,,,
wait_type,5,D8,big,,,,,
CCSDS_Header_1_APID,60,U16,little,,,,,
CCSDS_Header_2_Seq,60,U16,little,,,,,
PKT_LEN,60,U16,little,,,,,
SHCOARSE,60,U32,big,,,,,
SHFINE,60,U16,big,,,,,
sent_count,60,U32,big,,,,,
err_count,60,U32,big,,,,,
pkt_rate,60,U1280,big,,,,,
stream_state,60,D32,big,,,,,
CCSDS_Header_1_APID,12,U16,little,,,,,
CCSDS_Header_2_Seq,12,U16,little,,,,,
PKT_LEN,12,U16,little,,,,,
SHCOARSE,12,U32,big,,,,,
SHFINE,12,U16,big,,,,,
recv_count,12,U16,big,,,,,
fmt_count,12,U16,big,,,,,
rjct_count,12,U16,big,,,,,
succ_count,12,U16,big,,,,,
succ_op,12,D8,big,,,,,
rjct_op,12,D8,big,,,,,
fail_code,12,D8,big,,,,,
,12,U8,big,,,,,
src_cnt,12,U24,big,,,,,
CCSDS_Header_1_APID,18,U16,little,,,,,
CCSDS_Header_2_Seq,18,U16,little,,,,,
PKT_LEN,18,U16,little,,,,,
SHCOARSE,18,U32,big,,,,,
SHFINE,18,U16,big,,,,,
recv_count,18,U32,big,,,,,
fmt_count,18,U32,big,,,,,
received,18,U32,big,,,,,
CCSDS_Header_1_APID,52,U16,little,,,,,
CCSDS_Header_2_Seq,52,U16,little,,,,,
PKT_LEN,52,U16,little,,,,,
SHCOARSE,52,U32,big,,,,,
SHFINE,52,U16,big,,,,,
sent_count,52,U16,big,,,,,
idle_count,52,U16,big,,,,,
control,52,U8,big,,,,,
encoder,52,U8,big,,,,,
power,52,D8,big,,,,,
synth_offset,52,U8,big,,,,,
underrun,52,U16,big,,,,,
overruns,52,U16,big,,,,,
buf_count,52,U16,big,,,,,
rf_pwr,52,U16,big,0,0.001139,0,0,0
pa_temp,52,U16,big,50,0.073242,0,0,0
bdt_temp,52,U16,big,0,0.0625,0,0,0
bdb_temp,52,U16,big,0,0.0625,0,0,0
bat_cur,52,U16,big,0,0.00004,0,0,0
bat_volt,52,U16,big,0,0.004,0,0,0
pa_curr,52,U16,big,0,0.00004,0,0,0
pa_volt,52,U16,big,0,0.004,0,0,0
version,52,U8,big,,,,,
debug,52,U8,big,,,,,
status,52,D8,big,,,,,
tx_ready,52,U8,big,,,,,
hk_valid,52,U8,big,,,,,
i2c_timeout,52,U8,big,,,,,
i2c_fail,52,U8,big,,,,,
,52,U8,big,,,,,
CCSDS_Header_1_APID,42,U16,little,,,,,
CCSDS_Header_2_Seq,42,U16,little,,,,,
PKT_LEN,42,U16,little,,,,,
SHCOARSE,42,U32,big,,,,,
SHFINE,42,U16,big,,,,,
write_cnt,42,U16,big,,,,,
read_cnt,42,U16,big,,,,,
write_state,42,D8,big,,,,,
card0_state,42,D8,big,,,,,
card1_state,42,D8,big,,,,,
card_sel,42,D8,big,,,,,
read_state,42,D8,big,,,,,
pbk_state,42,D8,big,,,,,
read_stream,42,D8,big,,,,,
read_id,42,D8,big,,,,,
read_end_time,42,U32,big,,,,,
CCSDS_Header_1_APID,40,U16,little,,,,,
CCSDS_Header_2_Seq,40,U16,little,,,,,
PKT_LEN,40,U16,little,,,,,
SHCOARSE,40,U32,big,,,,,
SHFINE,40,U16,big,,,,,
tx_count,40,U32,big,,,,,
rx_discard,40,U16,big,,,,,
sbe_count,40,U16,big,,,,,
mbe_count,40,U16,big,,,,,
pass_err_cnt,40,U16,big,,,,,
uart_recv_cnt,40,U32,big,,,,,
uart_drop_cnt,40,U16,big,,,,,
uart_fra_err,40,U16,big,,,,,
uart_par_err,40,U16,big,,,,,
uart_ovr_err,40,U16,big,,,,,
uart_sent_cnt,40,U16,big,,,,,
uart_cmd_cnt,40,U16,big,,,,,
cmd_ready,40,U8,big,,,,,
alive,40,U8,big,,,,,
channel,40,C8,big,,,,,
chksm_compare,40,U8,big,,,,,
watchdog_count,40,U8,big,,,,,
trap_count,40,U8,big,,,,,
pll_count,40,U8,big,,,,,
temp,40,I6,big,,,,,
echo_mode,40,C8,big,,,,,
afc_mode,40,C8,big,,,,,
swd_mode,40,C8,big,,,,,
read_mode,40,C8,big,,,,,
locked,40,U8,big,,,,,
CCSDS_Header_1_APID,41,U16,little,,,,,
CCSDS_Header_2_Seq,41,U16,little,,,,,
PKT_LEN,41,U16,little,,,,,
SHCOARSE,41,U32,big,,,,,
SHFINE,41,U16,big,,,,,
pass_size,41,U32,big,,,,,
pass_response,41,C1920,big,,,,,
CCSDS_Header_1_APID,47,U16,little,,,,,
CCSDS_Header_2_Seq,47,U16,little,,,,,
PKT_LEN,47,U16,little,,,,,
SHCOARSE,47,U32,big,,,,,
SHFINE,47,U16,big,,,,,
soh_count,47,U16,big,,,,,
sci_count,47,U16,big,,,,,
pkt_err_count,47,U16,big,,,,,
pass_count,47,U16,big,,,,,
pkt_crc_count,47,U16,big,,,,,
sync_err_count,47,U16,big,,,,,
pkt_comstat,47,U32,big,,,,,
pkt_temp1,47,U16,big,,,,,
pkt_temp2,47,U16,big,,,,,
pkt_temp3,47,U16,big,,,,,
alive,47,U16,big,,,,,
fast_count,47,U32,big,,,,,
CCSDS_Header_1_APID,51,U16,little,,,,,
CCSDS_Header_2_Seq,51,U16,little,,,,,
PKT_LEN,51,U16,little,,,,,
SHCOARSE,51,U32,big,,,,,
SHFINE,51,U16,big,,,,,
msg_recv_count,51,U16,big,,,,,
msg_rjct_count,51,U16,big,,,,,
fmt_count,51,U16,big,,,,,
,51,U16,big,,,,,
CCSDS_Header_1_APID,53,U16,little,,,,,
CCSDS_Header_2_Seq,53,U16,little,,,,,
PKT_LEN,53,U16,little,,,,,
SHCOARSE,53,U32,big,,,,,
SHFINE,53,U16,big,,,,,
avoid_flags,53,D32,big,,,,,
thresholds,53,U64,big,,,,,
last_cmd_time,53,U32,big,,,,,
triggered,53,U32,big,,,,,
threshold,53,U32,big,,,,,
countdown,53,U32,big,,,,,
deployables,53,U24,big,,,,,
curr_mode,53,D8,big,,,,,
launch_delay,53,U32,big,,,,,
launch_count,53,U32,big,,,,,
launch_flag,53,U32,big,,,,,
deploy_int,53,U32,big,,,,,
deploy_count,53,U32,big,,,,,
eclipse_method,53,D8,big,,,,,
eclipse,53,D8,big,,,,,
auto_state,53,D8,big,,,,,
,53,U8,big,,,,,
auto_time,53,U32,big,,,,,
CCSDS_Header_1_APID,46,U16,little,,,,,
CCSDS_Header_2_Seq,46,U16,little,,,,,
PKT_LEN,46,U16,little,,,,,
SHCOARSE,46,U32,big,,,,,
SHFINE,46,U16,big,,,,,
msg_recv_count,46,U16,big,,,,,
msg_recv_count,46,U16,big,,,,,
msg_fmt_count,46,U16,big,,,,,
,46,U16,big,,,,,
CCSDS_Header_1_APID,45,U16,little,,,,,
CCSDS_Header_2_Seq,45,U16,little,,,,,
PKT_LEN,45,U16,little,,,,,
SHCOARSE,45,U32,big,,,,,
SHFINE,45,U16,big,,,,,
recv_count,45,U16,big,,,,,
pass_count,45,U16,big,,,,,
bad_apid_count,45,U16,big,,,,,
bad_len_count,45,U16,big,,,,,
alive_state,45,U8,big,,,,,
cmd_op,45,U8,big,,,,,
,45,U16,big,,,,,
cmd_succ,45,U16,big,,,,,
cmd_fail,45,U16,big,,,,,
cdh_enables,45,U16,big,,,,,
cdh_temp,45,U16,big,,,,,
sps_rate,45,U32,big,,,,,
sps_x,45,U16,big,,,,,
sps_y,45,U16,big,,,,,
slow_count,45,U16,big,,,,,
,45,U16,big,,,,,
CCSDS_Header_1_APID,2,U16,little,,,,,
CCSDS_Header_2_Seq,2,U16,little,,,,,
PKT_LEN,2,U16,little,,,,,
SHCOARSE,2,U32,big,,,,,
SHFINE,2,U16,big,,,,,
bat_fg1,2,U16,big,0,0.003906,0,0,0
daxss_curr,2,U16,big,0,0.0005,0,0,0
daxss_volt,2,U16,big,0,0.001,0,0,0
cdh_curr,2,U16,big,0,0.0005,0,0,0
cdh_volt,2,U16,big,0,0.001,0,0,0
sband_curr,2,U16,big,0,0.0005,0,0,0
sband_volt,2,U16,big,0,0.001,0,0,0
uhf_curr,2,U16,big,0,0.0005,0,0,0
uhf_volt,2,U16,big,0,0.001,0,0,0
heater_curr,2,U16,big,0,0.0005,0,0,0
heater_volt,2,U16,big,0,0.001,0,0,0
sp2_curr,2,U16,big,0,0.0005,0,0,0
sp2_volt,2,U16,big,0,0.001,0,0,0
sp1_curr,2,U16,big,0,0.0005,0,0,0
sp1_volt,2,U16,big,0,0.001,0,0,0
sp0_curr,2,U16,big,0,0.0005,0,0,0
sp0_volt,2,U16,big,0,0.001,0,0,0
bat_vcell,2,U16,big,,,,,
gps_12v_2_curr,2,U16,big,0,0.0005,0,0,0
gps_12v_2_volt,2,U16,big,0,0.001,0,0,0
gps_12v_1_curr,2,U16,big,0,0.0005,0,0,0
gps_12v_1_volt,2,U16,big,0,0.001,0,0,0
bat_curr,2,U16,big,0,0.0005,0,0,0
bat_volt,2,U16,big,0,0.001,0,0,0
adcs_curr,2,U16,big,0,0.0005,0,0,0
adcs_volt,2,U16,big,0,0.001,0,0,0
3p3_curr,2,U16,big,0,0.0005,0,0,0
3p3_volt,2,U16,big,0,0.001,0,0,0
cip_curr,2,U16,big,0,0.0005,0,0,0
cip_volt,2,U16,big,0,0.001,0,0,0
obc_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
eps_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
int_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
sp0_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat0_temp,2,U16,big,-259.74,1.471182747,3.59E-04,8.77E-08,2.14E-11
sp1_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat1_temp,2,U16,big,-259.74,1.471182747,3.59E-04,8.77E-08,2.14E-11
sp2_temp,2,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat_fg3,2,U16,big,0,0.003906,0,0,0
eclipse_threshold,2,U16,big,0,0.005,0,0,0
bat0_temp_conv,2,F32,big,,,,,
bat1_temp_conv,2,F32,big,,,,,
batt_set_low,2,F32,big,,,,,
batt_set_high,2,F32,big,,,,,
batt_samples,2,U8,big,,,,,
eclipse,2,D8,big,,,,,
CCSDS_Header_1_APID,44,U16,little,,,,,
CCSDS_Header_2_Seq,44,U16,little,,,,,
PKT_LEN,44,U16,little,,,,,
SHCOARSE,44,U32,big,,,,,
SHFINE,44,U16,big,,,,,
msg_recv_count,44,U16,big,,,,,
msg_rjct_count,44,U16,big,,,,,
msg_fmt_count,44,U16,big,,,,,
,44,U16,big,,,,,
CCSDS_Header_1_APID,43,U16,little,,,,,
CCSDS_Header_2_Seq,43,U16,little,,,,,
PKT_LEN,43,U16,little,,,,,
SHCOARSE,43,U32,big,,,,,
SHFINE,43,U16,big,,,,,
read_sent_cnt,43,U16,big,,,,,
write_sent_cnt,43,U16,big,,,,,
sync_err_cnt,43,U16,big,,,,,
len_err_cnt,43,U16,big,,,,,
crc_err_cnt,43,U16,big,,,,,
hk_pkt_cnt,43,U16,big,,,,,
alive,43,U8,big,,,,,
eclipse,43,U8,big,,,,,
eclipse_threshold,43,U16,big,,,,,
eclipse_count,43,U16,big,,,,,
,43,U16,big,,,,,
CCSDS_Header_1_APID,215,U16,little,,,,,
CCSDS_Header_2_Seq,215,U16,little,,,,,
PKT_LEN,215,U16,little,,,,,
SHCOARSE,215,U32,big,,,,,
SHFINE,215,U16,big,,,,,
analogs_voltage_2p5,215,U8,big,0,0.015,0,0,0
analogs_voltage_1p8,215,U8,big,0,0.015,0,0,0
analogs_voltage_1p0,215,U8,big,0,0.015,0,0,0
analogs_det_temp,215,I8,big,0,0.8,0,0,0
analogs_ext_temp,215,I16,big,0,0.005,0,0,0
analogs_imu_temp,215,I16,big,0,0.005,0,0,0
analogs_motor1_temp,215,I16,big,0,0.005,0,0,0
analogs_motor2_temp,215,I16,big,0,0.005,0,0,0
analogs_motor3_temp,215,I16,big,0,0.005,0,0,0
analogs_motor4_temp,215,I16,big,0,0.005,0,0,0
analogs_digital_bus_v,215,I16,big,0,0.00125,0,0,0
analogs_motor_bus_v,215,I16,big,0,0.00125,0,0,0
analogs_rod_bus_v,215,I16,big,0,0.00125,0,0,0
,215,U8,big,,,,,
CCSDS_Header_1_APID,218,U16,little,,,,,
CCSDS_Header_2_Seq,218,U16,little,,,,,
PKT_LEN,218,U16,little,,,,,
SHCOARSE,218,U32,big,,,,,
SHFINE,218,U16,big,,,,,
gps_time,218,I32,big,,,,,
gps_position_ecef1,218,I32,big,0,0.00002,0,0,0
gps_position_ecef2,218,I32,big,0,0.00002,0,0,0
gps_position_ecef3,218,I32,big,0,0.00002,0,0,0
gps_velocity_ecef1,218,I32,big,0,0.000000005,0,0,0
gps_velocity_ecef2,218,I32,big,0,0.000000005,0,0,0
gps_velocity_ecef3,218,I32,big,0,0.000000005,0,0,0
gps_sample_usec_ct,218,U32,big,,,,,
gps_cycles_since_latest_data,218,U32,big,,,,,
gps_gps_lock_count,218,U16,big,,,,,
gps_ms_gtracked_satellites,218,U8,big,,,,,
gps_ms_gused_satellites,218,U8,big,,,,,
gps_msg_data_valid,218,D8,big,,,,,
gps_gps_valid,218,D8,big,,,,,
gps_gps_enable,218,D8,big,,,,,
gps_new_data_received,218,D8,big,,,,,
CCSDS_Header_1_APID,213,U16,little,,,,,
CCSDS_Header_2_Seq,213,U16,little,,,,,
PKT_LEN,213,U16,little,,,,,
SHCOARSE,213,U32,big,,,,,
SHFINE,213,U16,big,,,,,
clock_sync_counts_per_sec,213,U32,big,,,,,
clock_sync_gps_pps_time_usec,213,U32,big,,,,,
clock_sync_hr_run_count,213,U32,big,,,,,
clock_sync_hr_time_usec,213,U32,big,,,,,
clock_sync_hr_cycle_num,213,U32,big,,,,,
clock_sync_vhr_cycle_num,213,U32,big,,,,,
clock_sync_cycles_since_pps,213,U32,big,,,,,
clock_sync_vhr_exec_time_ms,213,U8,big,,,,,
clock_sync_vhr_0_exec_time_us,213,U8,big,0,25,0,0,0
clock_sync_hr_exec_time_ms1,213,U8,big,,,,,
clock_sync_hr_exec_time_ms2,213,U8,big,,,,,
clock_sync_hr_exec_time_ms3,213,U8,big,,,,,
clock_sync_hr_exec_time_ms4,213,U8,big,,,,,
clock_sync_hr_exec_time_ms5,213,U8,big,,,,,
clock_sync_clock_sync_enable,213,U8,big,,,,,
CCSDS_Header_1_APID,207,U16,little,,,,,
CCSDS_Header_2_Seq,207,U16,little,,,,,
PKT_LEN,207,U16,little,,,,,
SHCOARSE,207,U32,big,,,,,
SHFINE,207,U16,big,,,,,
tracker_attitude_st1,207,I32,big,0,4.88E-10,0,0,0
tracker_attitude_st2,207,I32,big,0,4.88E-10,0,0,0
tracker_attitude_st3,207,I32,big,0,4.88E-10,0,0,0
tracker_attitude_st4,207,I32,big,0,4.88E-10,0,0,0
tracker_rate_est1,207,I16,big,0,0.0000025,0,0,0
tracker_rate_est2,207,I16,big,0,0.0000025,0,0,0
tracker_rate_est3,207,I16,big,0,0.0000025,0,0,0
tracker_right_asc,207,U16,big,0,0.0055,0,0,0
tracker_declination,207,I16,big,0,0.0055,0,0,0
tracker_roll,207,I16,big,0,0.0055,0,0,0
tracker_att_covariance1,207,I32,big,0,1.47E-14,0,0,0
tracker_att_covariance2,207,I32,big,0,1.47E-14,0,0,0
tracker_att_covariance3,207,I32,big,0,1.47E-14,0,0,0
tracker_att_covariance4,207,I32,big,0,1.47E-14,0,0,0
tracker_att_covariance5,207,I32,big,0,1.47E-14,0,0,0
tracker_att_covariance6,207,I32,big,0,1.47E-14,0,0,0
tracker_maximum_residual,207,U8,big,,,,,
tracker_maximum_residual_init,207,U8,big,,,,,
tracker_analog_gain_eu,207,U8,big,0,0.5,0,0,0
tracker_mag_bright,207,U8,big,0,0.04,0,0,0
tracker_mag_dim,207,U8,big,0,0.04,0,0,0
tracker_peak_noise_all_trk_blks,207,U8,big,0,4,0,0,0
tracker_peak_bckgnd_all_trk_blks,207,U8,big,0,4,0,0,0
tracker_median_noise_all_trk_blks,207,U8,big,0,4,0,0,0
tracker_median_bckgnd_all_trk_blks,207,U8,big,0,4,0,0,0
tracker_operating_mode,207,D8,big,,,,,
tracker_star_id_step,207,D8,big,,,,,
tracker_id_status,207,D8,big,,,,,
tracker_id_status_save,207,D8,big,,,,,
tracker_att_status,207,D8,big,,,,,
tracker_rate_est_status,207,D8,big,,,,,
tracker_rate_aid_status,207,D8,big,,,,,
tracker_vel_aid_status,207,D8,big,,,,,
tracker_att_aid_status,207,D8,big,,,,,
tracker_att_time_tag,207,U32,big,,,,,
tracker_num_id_patterns_tried,207,U32,big,,,,,
tracker_pixel_amp_threshold,207,U8,big,0,4,0,0,0
tracker_amplitude_offset,207,U8,big,,,,,
tracker_current_tint,207,U32,big,,,,,
tracker_start_set_time,207,U32,big,,,,,
tracker_mem_det_trigger_delay,207,U32,big,,,,,
tracker_image_read_dt,207,U32,big,,,,,
tracker_maximum_residual_id,207,U16,big,,,,,
tracker_maximum_residual_id_init,207,U16,big,,,,,
tracker_max_row_bckgnd_post_comp,207,U16,big,,,,,
tracker_excluded_id,207,U16,big,,,,,
tracker_id_stars1,207,U16,big,,,,,
tracker_id_stars2,207,U16,big,,,,,
tracker_id_stars3,207,U16,big,,,,,
tracker_id_stars4,207,U16,big,,,,,
tracker_det_timeout_count,207,U16,big,,,,,
tracker_num_pix_groups_for_id,207,U8,big,,,,,
tracker_id_tolerance,207,U8,big,,,,,
tracker_num_of_att_loops,207,U8,big,,,,,
tracker_num_attitude_stars,207,U8,big,,,,,
tracker_num_stars_high_residual,207,U8,big,,,,,
tracker_auto_black_enable,207,D8,big,,,,,
tracker_black_level,207,U8,big,,,,,
tracker_num_stars_on_fov,207,U8,big,,,,,
tracker_num_track_blocks_issued,207,U8,big,,,,,
tracker_num_track_stars,207,U8,big,,,,,
tracker_num_id_stars,207,U8,big,,,,,
tracker_fs_wcounter,207,U8,big,,,,,
tracker_auto_track,207,D8,big,,,,,
tracker_auto_integration,207,D8,big,,,,,
tracker_auto_gain,207,D8,big,,,,,
tracker_test_mode,207,U8,big,,,,,
tracker_fpga_det_timeout,207,D8,big,,,,,
tracker_store_seq_images,207,D8,big,,,,,
tracker_track_ref_available,207,D8,big,,,,,
tracker_num_exclusions,207,U8,big,,,,,
tracker_id_wait_counter,207,U8,big,,,,,
tracker_image_index,207,U8,big,,,,,
tracker_ref_index,207,U8,big,,,,,
